1570 MEMORY LEAK DETECTED!
At address (000001EFD266CFB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D070), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D1F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D2B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D4F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D5B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D670), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D8B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266D970), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266DA30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (000001EFD266DAF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266DBB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266DC70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD266DDF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001EFD2672F80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD2672FE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD2673040), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD26730A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD2673100), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD2673160), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD2673220), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD2673340), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD26733A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD2673400), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD26734C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD2673520), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD2673640), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD2673A00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.h, line 16
At address (000001EFD2673A60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001EFD2673B80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD2673BE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD2673D00), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD2673D60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000001EFD2673DC0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000001EFD26D5FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6500), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001EFD26D6570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D66C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D67A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D69D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6DC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6F80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D6FF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D7060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D7140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D7300), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D73E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D7450), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D74C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D75A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D7760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D77D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD26D78B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001EFD8F933A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F94E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F94EA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F95020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F95420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F955A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F95620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F958A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F95C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F962A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F967A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F96820), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F96920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F96AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F96D20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F971A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F97520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8F97A20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F97D20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD8F97F20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001EFD8FAD740), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001EFD8FAD9C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001EFD90AECA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (000001EFD9166400), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD9166780), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD9166B80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001EFD9166D80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
