3634 MEMORY LEAK(S) DETECTED!
At address (0000019C34507060), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C34507120), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C345071E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C34507240), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C34507360), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3456A5F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456A740), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456AB30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456AC10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B150), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B380), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B3F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B4D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B5B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456B700), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456BA80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456BBD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456BD20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456BEE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456BFC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000019C3456C030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456C260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456C2D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456C420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3456C490), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000019C3AE10220), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE106A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE10B20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE10F20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE11120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE11AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE11B20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE11CA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE129A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE12AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE12C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE12F20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE12FA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE13020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE135A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE13A20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE13C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000019C3AE13CA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE13FA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE168A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000019C3AE30280), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AF2B730), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (0000019C3AF9CD70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9CE00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9CE90), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D040), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (0000019C3AF9D160), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D1F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D310), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D430), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9D4C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9D5E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9D670), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D790), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9D820), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9D8B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DA60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (0000019C3AF9DAF0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9DB80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DC10), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9DCA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DD30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DDC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9DE50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DEE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9DF70), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E000), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E090), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E120), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E1B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E240), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E2D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E360), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E480), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E510), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E5A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E630), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E6C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E750), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E7E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E870), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9E900), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C3AF9E990), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9EA20), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AF9EC60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C3AFBA820), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBA880), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBA8E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBA940), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBA9A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBAA00), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBAA60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAAC0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBAB20), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAB80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBABE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBAC40), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBACA0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBAD00), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBAD60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBADC0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAE20), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBAE80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAEE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAF40), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBAFA0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB000), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB060), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB0C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB120), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB180), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB1E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB240), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB2A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB300), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB360), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB3C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB420), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB480), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB4E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB540), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB5A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB600), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB660), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB6C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB720), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB780), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB7E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB840), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBB8A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB900), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBB960), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBB9C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBA20), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBA80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBBAE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBBB40), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBBA0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBC00), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBC60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBCC0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBD20), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBD80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBDE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBE40), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBBEA0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBBF00), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBF60), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBBFC0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC020), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC080), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC0E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC140), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC1A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC200), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC260), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC2C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC320), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC380), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC3E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC440), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC4A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC500), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC560), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000019C3AFBC5C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC620), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC680), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBC6E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000019C3AFBC740), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000019C3AFBED60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBEE00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBEEA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBEF40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBEFE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF1C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF300), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF3A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF440), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF4E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF580), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF6C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF800), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF8A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF940), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBF9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBFA80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBFB20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000019C3AFBFBC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
