9210 MEMORY LEAK(S) DETECTED!
At address (00000211ED771CA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771D40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771DE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771E80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771FC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772060), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772100), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772380), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772600), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7726A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772740), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7727E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772880), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772920), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772A60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772B00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772BA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772C40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772CE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772D80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772E20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772EC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772F60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7733C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED773460), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED773500), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7735A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED773640), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED773820), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED773A00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7A4190), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\collisionsystem.cpp, line 118
At address (00000211ED7A4B90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000211ED7A4E90), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\collisionsystem.cpp, line 118
At address (00000211ED7A5490), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 107
At address (00000211ED7BC2A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BC3C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BC450), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BC600), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BC720), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BCB10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BCC30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 88
At address (00000211ED7BCDE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BD020), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BD0B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BD140), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BD260), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BD410), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BD5C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED7BD800), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BD920), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BDAD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
At address (00000211ED7BDC80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211ED803A80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 110
At address (00000211ED804C60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 89
At address (00000211ED805290), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 90
At address (00000211ED805340), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 110
At address (00000211ED8054A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 87
At address (00000211ED885CF0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211ED885DC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 81
At address (00000211F3D721E0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D72240), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D722A0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76570), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D765D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76630), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76690), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D766F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D767B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76810), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76870), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D768D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76930), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D769F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76A50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76AB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76B10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76B70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76BD0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76C30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76C90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76CF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76D50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76DB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D76E10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D76E70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76ED0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D76F30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D76F90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D76FF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D77050), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D770B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D77110), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D771D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D77230), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D77290), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D772F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D77350), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D773B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D77410), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D77470), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D77650), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D77720), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D777F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D778C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D77A60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D77B30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D77CD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D77DA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D77E70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D780E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D781B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D78350), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D784F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D785C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D78690), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D78AA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D78D10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D78DE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D78EB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D78F80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000211F3D79120), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D792C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D79390), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000211F3D86070), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D860D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86130), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86190), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D861F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86250), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D862B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86310), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86370), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D863D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D86430), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86490), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D864F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211F3D86550), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D865B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86610), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86670), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000211F3D866D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000211F3D86730), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211F3D86790), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
