4270 MEMORY LEAK(S) DETECTED!
At address (000001FF098BF7F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BFA70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098C0140), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001FF098C01D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C02F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0380), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0410), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C04A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0530), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C05C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0650), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C06E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0770), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001FF098C0800), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0890), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C09B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0A40), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0AD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0B60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0BF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0C80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0D10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0DA0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0E30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0EC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C0F50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C0FE0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C1070), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C1100), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C1190), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C1220), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C12B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C1340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C13D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C1460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C14F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C1580), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001FF098C1610), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (000001FF098C16A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
