1625 MEMORY LEAK DETECTED!
At address (000002C680DB5E20), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB5E80), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB5EE0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB5F40), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB5FA0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB6000), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB6060), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB60C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB6120), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB6180), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB61E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB6240), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB62A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB6300), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB6360), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB63C0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB6420), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB6480), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB64E0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB6540), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DB65A0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DB6600), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB6660), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DB6750), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6810), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB68D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6990), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6A50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6B10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6BD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6C90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6D50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6E10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6ED0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB6F90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB7050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB7110), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002C680DB71D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
