9811 MEMORY LEAK(S) DETECTED!
At address (000002889F51DC10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51DCB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51DDF0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51DE90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51DFD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E070), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E1B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E250), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E2F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E390), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E430), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E570), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E6B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E7F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E890), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E930), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51E9D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EA70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EB10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EBB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EC50), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51ED90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EED0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51EF70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51F0B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51F470), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51F5B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F51F650), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (000002889F568A10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F568B30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889F568F20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 55
